ID,name,url,location,no. of reviews,description,tuition,enrollment
0,Princeton University,https://www.usnews.com//best-colleges/princeton-university-2627,"Princeton, NJ",19 reviews,"The ivy-covered campus of Princeton University, a private institution, is located in the quiet town of Princeton, New Jersey. Princeton was the first university to offer a ""no loan"" policy to financially needy students, giving grants instead of loans to accepted students who need help paying tuition.","$56,010 ","4,773(fall 2020)"
1,Columbia University,https://www.usnews.com//best-colleges/columbia-university-2707,"New York, NY",39 reviews,"Columbia University has three undergraduate schools: Columbia College, The Fu Foundation School of Engineering and Applied Sciences (SEAS), and the School of General Studies. This Ivy League, private school guarantees students housing for all four years on campus in Manhattan\'92s Morningside Heights neighborhood in New York City.","$63,530 ","6,170(fall 2020)"
2,Harvard University,https://www.usnews.com//best-colleges/harvard-university-2155,"Cambridge, MA",17 reviews,"Harvard University is a private institution in Cambridge, Massachusetts, just outside of Boston. This Ivy League school is the oldest higher education institution in the country and has the largest endowment of any school in the world.","$55,587 ","5,222(fall 2020)"
3,Massachusetts Institute of Technology,https://www.usnews.com//best-colleges/massachusetts-institute-of-technology-2178,"Cambridge, MA",12 reviews,"Though the Massachusetts Institute of Technology may be best known for its math, science and engineering education, this private research university also offers architecture, humanities, management and social science programs. The school is located in Cambridge, Massachusetts, just across the Charles River from downtown Boston.","$55,878 ","4,361(fall 2020)"
4,Yale University,https://www.usnews.com//best-colleges/yale-university-1426,"New Haven, CT",10 reviews,"Yale University, located in New Haven, Connecticut, offers a small college life with the resources of a major research institution. Yale students are divided into 14 residential colleges that foster a supportive environment for living, learning and socializing.","$59,950 ","4,703(fall 2020)"
5,Stanford University,https://www.usnews.com//best-colleges/stanford-university-1305,"Stanford, CA",10 reviews,"The sunny campus of Stanford University is located in California\'92s Bay Area, about 30 miles from San Francisco. The private institution stresses a multidisciplinary combination of teaching, learning, and research, and students have many opportunities to get involved in research projects.","$56,169 ","6,366(fall 2020)"
6,University of Chicago,https://www.usnews.com//best-colleges/university-of-chicago-1774,"Chicago, IL",46 reviews,"The University of Chicago, situated in Chicago\'92s Hyde Park community, offers a rich campus life in a big-city setting. Since 1987, the private institution has hosted the University of Chicago Scavenger Hunt, a four-day event that is regarded as the largest scavenger hunt in the world.","$60,963 ","6,989(fall 2020)"
7,University of Pennsylvania,https://www.usnews.com//best-colleges/university-of-pennsylvania-3378,"Philadelphia, PA",27 reviews,"Founded by Benjamin Franklin, the University of Pennsylvania is a private institution in the University City neighborhood of Philadelphia, Pennsylvania. Students can study in one of four schools that grant undergraduate degrees: Arts and Sciences, Nursing, Engineering and Applied Sciences, and Wharton.","$61,710 ","9,872(fall 2020)"
8,California Institute of Technology,https://www.usnews.com//best-colleges/california-institute-of-technology-1131,"Pasadena, CA",8 reviews,"The California Institute of Technology focuses on science and engineering education and has a low student-to-faculty ratio of 3:1. This private institution in Pasadena, California, is actively involved in research projects with grants from NASA, the National Science Foundation and the U.S. Department of Health and Human Services.","$58,680 ",901(fall 2020)
9,Duke University,https://www.usnews.com//best-colleges/duke-university-2920,"Durham, NC",30 reviews,"Located in Durham, North Carolina, Duke University is a private institution that has liberal arts and engineering programs for undergraduates. The Duke Blue Devils sports teams have a fierce rivalry with the University of North Carolina\'97Chapel Hill Tar Heels and are best known for their outstanding men's basketball program.","$60,489 ","6,717(fall 2020)"
10,Johns Hopkins University,https://www.usnews.com//best-colleges/jhu-2077,"Baltimore, MD",43 reviews,"Johns Hopkins University is a private institution in Baltimore that offers a wide array of academic programs in the arts, humanities, social and natural sciences, and engineering disciplines. The Hopkins Blue Jays men\'92s lacrosse team is consistently dominant in the NCAA Division I; other sports teams at Hopkins compete at the Division III level.","$58,720 ","6,331(fall 2020)"
11,Northwestern University,https://www.usnews.com//best-colleges/northwestern-university-1739,"Evanston, IL",27 reviews,"Northwestern University is a private school in Evanston, Ill., about 30 minutes outside of Chicago. Undergraduate students have about 100 options for majors or can design their own non-traditional degree program.","$60,984 ","8,194(fall 2020)"
12,Dartmouth College,https://www.usnews.com//best-colleges/dartmouth-college-2573,"Hanover, NH",14 reviews,"Dartmouth College, a private institution in Hanover, New Hampshire, uses quarters, not semesters, to divide the school year. Among more than 300 student organizations at Dartmouth is the Outing Club, the nation's oldest and largest collegiate club of its kind, which offers outdoor activities, expeditions, gear rentals and courses.","$60,870 ","4,170(fall 2020)"
13,Brown University,https://www.usnews.com//best-colleges/brown-university-3401,"Providence, RI",9 reviews,"At Brown University, undergraduate students are responsible for designing their own academic study with more than 80 concentration programs to choose from. Another unique offering at this private, Ivy League institution in Providence, Rhode Island, is the Program in Liberal Medical Education, which grants both a bachelor\'92s degree and medical degree in eight years.","$62,404 ","6,792(fall 2020)"
14,Vanderbilt University,https://www.usnews.com//best-colleges/vanderbilt-3535,"Nashville, TN",23 reviews,"Vanderbilt University is a private institution in Nashville, Tenn. with four undergraduate colleges: the College of Arts and Science, the School of Engineering, Peabody College, and the Blair School of Music. About 40 percent of Vanderbilt students participate in Greek life.","$56,966 ","7,057(fall 2020)"
15,Washington University in St. Louis,https://www.usnews.com//best-colleges/washington-university-in-st-louis-2520,"St. Louis, MO",24 reviews,"Students can study architecture, art, arts and sciences, business, and engineering at Washington University in St. Louis, a private research institution in Missouri. Outside of class, about 35 percent of the student body is involved in Greek life.","$58,866 ","7,653(fall 2020)"
16,Cornell University,https://www.usnews.com//best-colleges/cornell-university-2711,"Ithaca, NY",15 reviews,"Cornell University, a private school in Ithaca, New York, has 14 colleges and schools. Each admits its own students, though every graduate receives a degree from Cornell University. The university has more than 1,000 student organizations on campus.","$61,015 ","14,743(fall 2020)"
17,Rice University,https://www.usnews.com//best-colleges/rice-3604,"Houston, TX",14 reviews,"Rice University is located in the heart of the Museum District in Houston, TX. The private institution has a need-blind admissions policy and meets the full demonstrated need of any accepted student who requires help paying tuition.","$52,895 ","4,076(fall 2020)"
18,University of Notre Dame,https://www.usnews.com//best-colleges/university-of-notre-dame-1840,"Notre Dame, IN",25 reviews,"The University of Notre Dame is a private, independent, Catholic institution in South Bend, Ind. Notre Dame\'92s athletic teams, known as the Fighting Irish, play in the NCAA Division I and are particularly competitive on the football field.","$58,843 ","8,874(fall 2020)"
19,University of California--Los Angeles,https://www.usnews.com//best-colleges/university-of-california-los-angeles-1315,"Los Angeles, CA",37 reviews,"The University of California\'97Los Angeles is just five miles away from the Pacific Ocean. The public institution offers 5,000 courses, 140 bachelor's degree programs and 97 minors.","$43,022(out-of-state)","31,636(fall 2020)"
20,Emory University,https://www.usnews.com//best-colleges/emory-university-1564,"Atlanta, GA",16 reviews,"Students can begin their education at the school's main location in a suburb of Atlanta, known as Emory College, or at Oxford College, a smaller campus about 40 miles away. This private institution offers about 70 majors in the arts and sciences, as well as degrees in business administration and nursing.","$55,468 ","7,010(fall 2020)"
21,University of California--Berkeley,https://www.usnews.com//best-colleges/university-of-california-berkeley-1312,"Berkeley, CA",38 reviews,"The University of California\'97Berkeley overlooks the San Francisco Bay in Berkeley, Calif. Students at this public school have more than 1,000 groups to get involved in, including more than 60 fraternity and sorority chapters.","$44,115(out-of-state)","30,980(fall 2020)"
22,Georgetown University,https://www.usnews.com//best-colleges/georgetown-university-1445,"Washington, DC",25 reviews,"Georgetown University is the oldest Catholic university in the country. The school's location in Washington, D.C. gives students many opportunities for internships throughout the nation's capital.","$59,957 ","7,357(fall 2020)"
23,University of Michigan--Ann Arbor,https://www.usnews.com//best-colleges/university-of-michigan-ann-arbor-9092,"Ann Arbor, MI",34 reviews,"The university boasts of Ann Arbor, only 45 minutes from Detroit, as one of the best college towns in the U.S. Freshmen are guaranteed housing but not required to live on campus. Students can join one of the school\'92s more than 1,500 student organizations or 62 Greek chapters. Athletics play a central role at Michigan, including the football team\'92s fierce rivalry with Ohio State. Michigan also offers highly ranked graduate programs, including the Stephen M. Ross School of Business, College of Engineering, Law School and Medical School, in addition to the well-regarded School of Dentistry and Taubman College for Architecture and Urban Planning. The University of Michigan Hospitals and Health Centers is ranked among the top hospitals in the country.","$53,232(out-of-state)","31,329(fall 2020)"
24,Carnegie Mellon University,https://www.usnews.com//best-colleges/carnegie-mellon-university-3242,"Pittsburgh, PA",14 reviews,"Carnegie Mellon University, a private institution in Pittsburgh, is the country\'92s only school founded by industrialist and philanthropist Andrew Carnegie. The school specializes in academic areas including engineering, business, computer science and fine arts.","$58,924 ","7,073(fall 2020)"
25,University of Virginia,https://www.usnews.com//best-colleges/uva-6968,"Charlottesville, VA",27 reviews,"Founded by Thomas Jefferson, the University of Virginia is located in Charlottesville. It\'92s referred to among insiders as Mr. Jefferson\'92s University or simply The University. Only first-year students are required to live on campus, and many upperclassmen live in off-campus apartments or fraternity and sorority houses. Greek life is prominent at UVA with a membership that includes approximately 35 percent of the student body. The Cavaliers, known unofficially as Wahoos or \'91Hoos, are members of the NCAA Division I Atlantic Coast Conference and are well known for their consistently dominant men\'92s and women\'92s lacrosse teams.UVA\'92s graduate programs include the highly ranked Darden Graduate School of Business, Curry School of Education, School of Engineering and Applied Science, School of Law and School of Medicine. UVA houses one of the 25 remaining original copies of the Declaration of Independence, called a Dunlap Broadside, in its Albert and Shirley Small Special Collections Library. The school also has its own distinct lingo: The campus is referred to as the ""grounds,"" the central quad is the ""lawn,"" and students are either a first, second, third or fourth year. Former U.S. Senator Edward Kennedy, journalist Katie Couric and former NFL player Tiki Barber all earned degrees from UVA. Famous writer Edgar Allen Poe was forced to leave the school after losing his tuition money to gambling, but his dorm room on the lawn is still preserved and on display for visitors.","$53,666(out-of-state)","17,311(fall 2020)"
